Label,LCZs,Value
<110,LCZ 1,4
<110,LCZ 2,3
<110,LCZ 3,3
<110,LCZ 4,6
<110,LCZ 5,4
<110,LCZ 6,10
<110,LCZ 7,0
<110,LCZ 8,1
<110,LCZ 9,6
<110,LCZ 10,0
<110,LCZ A,47
<110,LCZ B,22
<110,LCZ C,46
<110,LCZ D,358
<110,LCZ E,6
<110,LCZ F,10
<110,LCZ G,6
110-150,LCZ 1,26
110-150,LCZ 2,31
110-150,LCZ 3,13
110-150,LCZ 4,105
110-150,LCZ 5,26
110-150,LCZ 6,159
110-150,LCZ 7,0
110-150,LCZ 8,14
110-150,LCZ 9,133
110-150,LCZ 10,0
110-150,LCZ A,525
110-150,LCZ B,197
110-150,LCZ C,827
110-150,LCZ D,4856
110-150,LCZ E,129
110-150,LCZ F,79
110-150,LCZ G,54
150-170,LCZ 1,7
150-170,LCZ 2,10
150-170,LCZ 3,2
150-170,LCZ 4,25
150-170,LCZ 5,7
150-170,LCZ 6,37
150-170,LCZ 7,1
150-170,LCZ 8,4
150-170,LCZ 9,62
150-170,LCZ 10,0
150-170,LCZ A,216
150-170,LCZ B,54
150-170,LCZ C,423
150-170,LCZ D,1705
150-170,LCZ E,12
150-170,LCZ F,10
150-170,LCZ G,25
170-190,LCZ 1,3
170-190,LCZ 2,1
170-190,LCZ 3,3
170-190,LCZ 4,7
170-190,LCZ 5,3
170-190,LCZ 6,29
170-190,LCZ 7,4
170-190,LCZ 8,4
170-190,LCZ 9,36
170-190,LCZ 10,0
170-190,LCZ A,280
170-190,LCZ B,33
170-190,LCZ C,360
170-190,LCZ D,1021
170-190,LCZ E,5
170-190,LCZ F,20
170-190,LCZ G,15
190-220,LCZ 1,10
190-220,LCZ 2,14
190-220,LCZ 3,15
190-220,LCZ 4,78
190-220,LCZ 5,10
190-220,LCZ 6,119
190-220,LCZ 7,2
190-220,LCZ 8,18
190-220,LCZ 9,215
190-220,LCZ 10,0
190-220,LCZ A,986
190-220,LCZ B,169
190-220,LCZ C,2528
190-220,LCZ D,2786
190-220,LCZ E,17
190-220,LCZ F,28
190-220,LCZ G,32
220-240,LCZ 1,5
220-240,LCZ 2,9
220-240,LCZ 3,20
220-240,LCZ 4,69
220-240,LCZ 5,5
220-240,LCZ 6,77
220-240,LCZ 7,0
220-240,LCZ 8,7
220-240,LCZ 9,260
220-240,LCZ 10,0
220-240,LCZ A,427
220-240,LCZ B,67
220-240,LCZ C,916
220-240,LCZ D,1239
220-240,LCZ E,9
220-240,LCZ F,16
220-240,LCZ G,11
240-260,LCZ 1,17
240-260,LCZ 2,7
240-260,LCZ 3,4
240-260,LCZ 4,81
240-260,LCZ 5,17
240-260,LCZ 6,34
240-260,LCZ 7,0
240-260,LCZ 8,5
240-260,LCZ 9,243
240-260,LCZ 10,0
240-260,LCZ A,166
240-260,LCZ B,30
240-260,LCZ C,316
240-260,LCZ D,715
240-260,LCZ E,5
240-260,LCZ F,2
240-260,LCZ G,23
260-270,LCZ 1,29
260-270,LCZ 2,7
260-270,LCZ 3,5
260-270,LCZ 4,169
260-270,LCZ 5,27
260-270,LCZ 6,20
260-270,LCZ 7,0
260-270,LCZ 8,1
260-270,LCZ 9,294
260-270,LCZ 10,0
260-270,LCZ A,152
260-270,LCZ B,10
260-270,LCZ C,79
260-270,LCZ D,348
260-270,LCZ E,2
260-270,LCZ F,6
260-270,LCZ G,12
270-290,LCZ 1,46
270-290,LCZ 2,25
270-290,LCZ 3,7
270-290,LCZ 4,596
270-290,LCZ 5,45
270-290,LCZ 6,87
270-290,LCZ 7,0
270-290,LCZ 8,21
270-290,LCZ 9,1268
270-290,LCZ 10,7
270-290,LCZ A,1011
270-290,LCZ B,40
270-290,LCZ C,266
270-290,LCZ D,847
270-290,LCZ E,11
270-290,LCZ F,2
270-290,LCZ G,61
>290,LCZ 1,95
>290,LCZ 2,45
>290,LCZ 3,43
>290,LCZ 4,930
>290,LCZ 5,95
>290,LCZ 6,298
>290,LCZ 7,0
>290,LCZ 8,63
>290,LCZ 9,1856
>290,LCZ 10,10
>290,LCZ A,1485
>290,LCZ B,128
>290,LCZ C,748
>290,LCZ D,1191
>290,LCZ E,17
>290,LCZ F,13
>290,LCZ G,63
